en_data,en_tokenized,en_idized,en_len,ref0,ref1,ref2,ref3,ref4,pred
"We promptly convened the Working Party on Atomic Questions and an Extraordinary Energy Council in order to assess the situation in Japan , as well as its possible repercussions on the EU , and reflect on the EU response .","['we', 'promptly', 'convened', 'the', 'working', 'party', 'on', 'atomic', 'questions', 'and', 'an', 'extraordinary', 'energy', 'council', 'in', 'order', 'to', 'assess', 'the', 'situation', 'in', 'japan', ',', 'as', 'well', 'as', 'its', 'possible', 'repercussions', 'on', 'the', 'eu', ',', 'and', 'reflect', 'on', 'the', 'eu', 'response', '.']","[53, 9015, 26316, 5, 383, 646, 21, 13045, 672, 7, 42, 5818, 803, 4070, 12, 354, 8, 6313, 5, 1220, 12, 28527, 4, 27, 135, 27, 106, 489, 27528, 21, 5, 30998, 4, 7, 3502, 21, 5, 30998, 1144, 6, 1]",41,The Working Party on Atomic Questions and an Extraordinary Energy Council promptly assessed the situations in Japan and any repercussions on the EU .,We promptly convener the working party on Atomic questions and assessment of situation in Japan as well as repercussions on the EU,We convened the Working Party on Atomic Questions and an Extraordinary Energy Council in order to assess the situation in Japan .,The Working Party on Atomic Questions and an Extraordinary Energy Council promptly assessed the situations in Japan and any repercussions on the EU .,we have assessed the issue and repercussions   on the EU,we have decided to decide the nuclear issues and a council on nuclear power and the possible consequences of the european union and the european union ' .
"They need figures with whom they can identify immediately recognize , and , above all , trust .","['they', 'need', 'figures', 'with', 'whom', 'they', 'can', 'identify', 'immediately', 'recognize', ',', 'and', ',', 'above', 'all', ',', 'trust', '.']","[54, 161, 2190, 22, 1859, 54, 46, 2505, 1320, 3660, 4, 7, 4, 522, 52, 4, 1916, 6, 1]",19,"They need figures they can identify with , recognize and most of all , trust .",They need identifiable and trustworthy figures .,They need figures with whom they can identify recognize and trust .,"They need figures they can identify with , recognize and most of all , trust .","They need people they can identify , recognize and above all trust .",it is the same figures which can immediately identify the confidence .
The doctor determines that you have high cholesterol,"['the', 'doctor', 'determines', 'that', 'you', 'have', 'high', 'cholesterol']","[5, 1529, 9842, 17, 24, 36, 283, 10519, 1]",9,The doctor determines you have high cholesterol,The doctor says that you have high cholesterol,The doctor determines you have high cholesterol .,The doctor determines you have high cholesterol,and you have high cholesterol,it is high alcohol .
"In the face of this violation of the commitments formerly made by the junta , the opposition organised a demonstration , which was brutally repressed by the presidential guard .","['in', 'the', 'face', 'of', 'this', 'violation', 'of', 'the', 'commitments', 'formerly', 'made', 'by', 'the', 'junta', ',', 'the', 'opposition', 'organised', 'a', 'demonstration', ',', 'which', 'was', 'brutally', 'repressed', 'by', 'the', 'presidential', 'guard', '.']","[12, 5, 670, 9, 35, 5462, 9, 5, 12443, 5064, 154, 33, 5, 47409, 4, 5, 4006, 8656, 10, 9051, 4, 63, 26, 17536, 35650, 33, 5, 4626, 4108, 6, 1]",31,"In the face of this violation of commitments made by the junta , the opposition organised a demonstration which was repressed by the presidential guard .",This violation of former junta commitments made the opposition organise a demonstration which was brutally repressed by the presidential guard .,"In violation of the commitments made by the junta , the opposition organised a demonstration , which was repressed by the presidential guard .","In the face of this violation of commitments made by the junta , the opposition organised a demonstration which was repressed by the presidential guard .",repressed by the presidential guard,"in view of the commitments made by the junta , the opposition has been brutally repressed by the presidential leadership ."
In Latin America about 15 % of the population roughly 76 million people do not have access to safe water 116 million people do not have access to sanitation services,"['in', 'latin', 'america', 'about', '15', '%', 'of', 'the', 'population', 'roughly', '76', 'million', 'people', 'do', 'not', 'have', 'access', 'to', 'safe', 'water', '116', 'million', 'people', 'do', 'not', 'have', 'access', 'to', 'sanitation', 'services']","[12, 32030, 22285, 59, 266, 114, 9, 5, 1072, 4992, 7001, 554, 107, 87, 40, 36, 560, 8, 1212, 350, 13101, 554, 107, 87, 40, 36, 560, 8, 21472, 458, 1]",31,"15 % , or 76 million people in Latin America do not have access to safe water and 116 million to sanitation .",In Latin America about 15 % of the nearly 76 million people have no access to safe water and 116 million people have no access to sanitation services,In Latin America 15 % of the population ( 76 million ) have no access to safe water while 116 million have no access to sanitation services,"15 % , or 76 million people in Latin America do not have access to safe water and 116 million to sanitation .",In Latin America about 15 % of the population roughly 76 million people do n't have access to safe water 116 million people do n't have access to sanitation,"in latin america , 15 % of the 78 million people have no access to safe services , they have ."
The public demands quick answers to complex problems that unsolved risk endangering the planet .,"['the', 'public', 'demands', 'quick', 'answers', 'to', 'complex', 'problems', 'that', 'unsolved', 'risk', 'endangering', 'the', 'planet', '.']","[5, 403, 4752, 1313, 2542, 8, 1615, 747, 17, 38171, 1060, 43570, 5, 3445, 6, 1]",16,"People demand fast answers to hard problems of unsolved risk , endangering the planet .",The public demands quick answers to problems that unsolved risk endangering the planet .,The public demands answers to complex problems that unsolved risk ruining the planet .,"People demand fast answers to hard problems of unsolved risk , endangering the planet .",The public demands quick fixes to hard problems that might damage the planet .,citizens are demanding rapid responses to the terrorist risks .
not that I was suddenly looking for acceptance .,"['not', 'that', 'i', 'was', 'suddenly', 'looking', 'for', 'acceptance', '.']","[40, 17, 202, 26, 3668, 329, 16, 6399, 6, 1]",10,I was n't looking for acceptance .,not that I was looking for acceptance,not a sudden need for acceptance .,I was n't looking for acceptance .,not that I was suddenly looking for acceptance,i have been unable to .
"On 9 November this year , we will celebrate the 20th anniversary of something that surely for each of us in this Chamber must count as one of the most defining events of our lives - the fall of the Berlin Wall .","['on', '9', 'november', 'this', 'year', ',', 'we', 'will', 'celebrate', 'the', '20th', 'anniversary', 'of', 'something', 'that', 'surely', 'for', 'each', 'of', 'us', 'in', 'this', 'chamber', 'must', 'count', 'as', 'one', 'of', 'the', 'most', 'defining', 'events', 'of', 'our', 'lives', '-', 'the', 'fall', 'of', 'the', 'berlin', 'wall', '.']","[21, 263, 42325, 35, 155, 4, 53, 48, 3406, 5, 3444, 4182, 9, 227, 17, 4602, 16, 208, 9, 138, 12, 35, 6145, 286, 2347, 27, 58, 9, 5, 126, 8796, 788, 9, 74, 959, 47, 5, 1135, 9, 5, 76842, 1551, 6, 1]",44,"On 9 November this year , we will celebrate the 20th anniversary of the fall of the Berlin Wall .",Something that surely for each of us in this Chamber must count as one of the most defining events of our lives - the fall of the Berlin Wall .,"On November 9 of this year , we will celebrate the 20th anniversary of something that surely for each one of us in this House , one of the most defining events of our lives : the fall","On 9 November this year , we will celebrate the 20th anniversary of the fall of the Berlin Wall .",the fall of Berlin wall,"on 9 november this year , we will be celebrating the 20th anniversary of something that , in this house , must be one of our main life events ."
Similar advances in wholesaling supply chains account for another 25 % .,"['similar', 'advances', 'in', 'wholesaling', 'supply', 'chains', 'account', 'for', 'another', '25', '%', '.']","[736, 8333, 12, 2, 1911, 8681, 796, 16, 241, 374, 114, 6, 1]",13,Advances in wholesaling supply chains account for 25 %,Similar advances in wholesaling supply chains account for 25 %,Other advances in wholesale supply chains account for another 25 % .,Advances in wholesaling supply chains account for 25 %,Similar growth in wholesaling supply chains provide another 25 % .,"in this way , supply chains account ."
We always experience pain as a distressing thing happening in some part of the body in some particular circumstance usually it has a particular meaning,"['we', 'always', 'experience', 'pain', 'as', 'a', 'distressing', 'thing', 'happening', 'in', 'some', 'part', 'of', 'the', 'body', 'in', 'some', 'particular', 'circumstance', 'usually', 'it', 'has', 'a', 'particular', 'meaning']","[53, 256, 347, 1355, 27, 10, 31533, 302, 2862, 12, 89, 214, 9, 5, 514, 12, 89, 931, 16041, 775, 23, 51, 10, 931, 1771, 1]",26,Pain   experienced in some part of the body sometimes have particular meaning,We experience pain as an anguishing thing that happens somewhere in the body in some particular circumstance usually has a particular meaning,We always experience pain as a distress in the body   but mostly it has a particular meaning,Pain   experienced in some part of the body sometimes have particular meaning,we always experience pain as a distressing thing happening in some part of the body in some circumstance,"in particular , we have always raised pain , in particular , in a particular sense ."
"Even in just the past few years , we 've greatly expanded","['even', 'in', 'just', 'the', 'past', 'few', 'years', ',', 'we', ""'ve"", 'greatly', 'expanded']","[146, 12, 81, 5, 490, 215, 128, 4, 53, 232, 4093, 4206, 1]",13,We expanded the past few years,"in the past few years , we 've greatly expanded",We 've expanded greatly in recent years,We expanded the past few years,we have greatly expanded,we have extended it in recent years .
"In our globalized age , vast impersonal forces are supposed to determine events .","['in', 'our', 'globalized', 'age', ',', 'vast', 'impersonal', 'forces', 'are', 'supposed', 'to', 'determine', 'events', '.']","[12, 74, 64566, 626, 4, 3836, 40933, 1895, 28, 2168, 8, 1973, 788, 6, 1]",15,"In our age , vast impersonal forces are supposed to determine events .","In our globalized age , vast impersonal forces supposedly determine events .","In our global time , vast remote forces supposedly determine events .","In our age , vast impersonal forces are supposed to determine events .","In our worldly age , outside forces seem to decide events .",there are major forces for the european union .
"vocational education and training systems and policies in the EU , its Member States and transition countries","['vocational', 'education', 'and', 'training', 'systems', 'and', 'policies', 'in', 'the', 'eu', ',', 'its', 'member', 'states', 'and', 'transition', 'countries']","[19606, 899, 7, 811, 977, 7, 2356, 12, 5, 30998, 4, 106, 682, 1185, 7, 4142, 1094, 1]",18,"Vocational education and training systems and polices in the EU , its member States","vocational education , training systems and policies in EU , its states and transition countries","vocational education and training systems and policies in the EU , and transition countries","Vocational education and training systems and polices in the EU , its member States","vocational education , training systems and policies in the EU Member States and transition countries","education , vocational training and training systems , member states and ."
"And if anyone , in any country or continent , is in any doubt about how the human will and the courage of representatives with a mission can build a new future out of past decades of despair , let them simply reflect upon how , 60 years ago , Europeans talked of enmities that were forever entrenched and relationships that could never be repaired .","['and', 'if', 'anyone', ',', 'in', 'any', 'country', 'or', 'continent', ',', 'is', 'in', 'any', 'doubt', 'about', 'how', 'the', 'human', 'will', 'and', 'the', 'courage', 'of', 'representatives', 'with', 'a', 'mission', 'can', 'build', 'a', 'new', 'future', 'out', 'of', 'past', 'decades', 'of', 'despair', ',', 'let', 'them', 'simply', 'reflect', 'upon', 'how', ',', '60', 'years', 'ago', ',', 'europeans', 'talked', 'of', 'enmities', 'that', 'were', 'forever', 'entrenched', 'and', 'relationships', 'that', 'could', 'never', 'be', 'repaired', '.']","[7, 79, 608, 4, 12, 105, 463, 38, 10319, 4, 13, 12, 105, 2027, 59, 115, 5, 676, 48, 7, 5, 7062, 9, 5634, 22, 10, 2110, 46, 1034, 10, 96, 592, 65, 9, 490, 2882, 9, 13493, 4, 437, 92, 737, 3502, 716, 115, 4, 1412, 128, 361, 4, 100007, 3369, 9, 2, 17, 68, 3296, 26186, 7, 2685, 17, 137, 240, 32, 12526, 6, 1]",67,"If anyone doubts how the human will and the courage of representatives with a mission can build a new future out of past decades of despair , let them reflect upon how , 60 years ago , Europeans talked of enmities that were forever entrenched and relationships that could never be repaired .","If anyone , in any country or continent , doubts how the human will and the courage of representatives with a mission can build a new future from decades of despair , reflect on how , 60 years ago , Europeans spoke of enmity Which were always ingrained and relationships that could never be repaired .","If anyone has doubt about the will and courage of representatives with a mission can build a future out of despair , let them reflect how , 60 years ago , Europeans talked of forever entrenched and relationships that could never be repaired .","If anyone doubts how the human will and the courage of representatives with a mission can build a new future out of past decades of despair , let them reflect upon how , 60 years ago , Europeans talked of enmities that were forever entrenched and relationships that could never be repaired .",the courage of representatives with a mission can build a new future out of past decades of despair,"if anyone who , in any country or the continent , is in any doubt of the nature of human will and the courage of representatives with a mission , it can create a new future for the decades of despair , and no one can think that we think about how , not UNK and people who are still facing the road and human rights and jobs . as such , the eu could not go further than the people or 60 % or people who die on the way we were going to do so like 60 % of people are going to happen for 60 years ago , and politics and human rights watch again and over again and over the last few years or another , UNK ) and europe citizens are still facing the same way as the people who are involved in it and not so much as the people who are involved for it by the future of the european union and europe , justice and human rights . that is that the future of the people of the european union and europe 's citizens are that we think that there are still a few serious problems for them that the people of the future are now facing here and the future of the european union and europe , and all over the"
A contemporary non - medical writer described the qualities of intense pain as including extreme unpleasantness an ability to annihilate complex thoughts other feelings an ability to destroy language a strong resistance to objectification,"['a', 'contemporary', 'non', '-', 'medical', 'writer', 'described', 'the', 'qualities', 'of', 'intense', 'pain', 'as', 'including', 'extreme', 'unpleasantness', 'an', 'ability', 'to', 'annihilate', 'complex', 'thoughts', 'other', 'feelings', 'an', 'ability', 'to', 'destroy', 'language', 'a', 'strong', 'resistance', 'to', 'objectification']","[10, 3092, 5020, 47, 997, 1819, 1269, 5, 7347, 9, 4651, 1355, 27, 254, 3538, 88106, 42, 1121, 8, 60351, 1615, 1803, 90, 3419, 42, 1121, 8, 4899, 1024, 10, 839, 3501, 8, 80221, 1]",35,A non medical writer described pain as the ability to annihilate complex thoughts and the ability to destroy a strong resistance to objectification,One writer described the qualities of intense pain as including extreme dislike an ability to annihilate complex thoughts other feelings a capacity to destroy language a strong resistance to objectification,A recent writer described in great detail the qualities of extreme pain .,A non medical writer described pain as the ability to annihilate complex thoughts and the ability to destroy a strong resistance to objectification,"The quality of pain is the ability to annihilate complex thoughts and ability to destroy resistance to objectification , a description by a non medical   writer","a european non - medical group has been described at pain , as is apparent , a capacity of ability to destroy language ."
"The ELOs , together with the Europol officers , analysts and other experts , provide an effective , fast and multilingual service 24 hours a day .","['the', 'elos', ',', 'together', 'with', 'the', 'europol', 'officers', ',', 'analysts', 'and', 'other', 'experts', ',', 'provide', 'an', 'effective', ',', 'fast', 'and', 'multilingual', 'service', '24', 'hours', 'a', 'day', '.']","[5, 2, 4, 440, 22, 5, 100020, 2802, 4, 9000, 7, 90, 2816, 4, 427, 42, 1380, 4, 1133, 7, 33212, 327, 397, 529, 10, 168, 6, 1]",28,"The ELOs , Europol officers , analysts , and other experts , provide fast , effective , multilingual   service 24 hours a day .","The ELOs , together , with the Europool offciers , analysts and other experts , provide and effective and quick service 24 hours a day","The ELOs , the Europol officers , analysts , and other experts , provide an effective , fast and multilingual service 24 hours a day .","The ELOs , Europol officers , analysts , and other experts , provide fast , effective , multilingual   service 24 hours a day .","The ELOs , with the Europol officers , analysts and others , provide an effective , fast and multilingual service 24 hours a day .","the UNK officials , staff and other experts provide a 24-hour , rapid and multilingual hours 24 hours ."
"Psychologists are quick to point out that whenever humans experience strong emotions cognitions -- thoughts , memories expectations beliefs interpretation of the situation -- help form the experience","['psychologists', 'are', 'quick', 'to', 'point', 'out', 'that', 'whenever', 'humans', 'experience', 'strong', 'emotions', 'cognitions', '--', 'thoughts', ',', 'memories', 'expectations', 'beliefs', 'interpretation', 'of', 'the', 'situation', '--', 'help', 'form', 'the', 'experience']","[23574, 28, 1313, 8, 331, 65, 17, 3866, 3280, 347, 839, 5373, 2, 414, 1803, 4, 3676, 3741, 5201, 5340, 9, 5, 1220, 414, 197, 521, 5, 347, 1]",29,Psychologists point out that human experience strong emotion cognition,"Psychologists point out that whenever humans experience strong emotions cognitions - thoughts , memories expectations beliefs interpretation of the situation - helps to form the experience","Psychologists point out that when humans experience strong emotion cognition , rudiments of the situation help for the experience",Psychologists point out that human experience strong emotion cognition,Psychologists state that strong emotions form experiences .,"historians are quite clear that if human beings are emotions , thoughts , thinking , the situation then ."
most people do n't see things this way .,"['most', 'people', 'do', ""n't"", 'see', 'things', 'this', 'way', '.']","[126, 107, 87, 100342, 124, 222, 35, 140, 6, 1]",10,Most disagree .,most people do n't agree on this .,Most people see things differently,Most disagree .,most people do n't see it this way .,most citizens think that this .
You have a little more of a conversation with your physician,"['you', 'have', 'a', 'little', 'more', 'of', 'a', 'conversation', 'with', 'your', 'physician']","[24, 36, 10, 205, 57, 9, 10, 2568, 22, 41, 5764, 1]",12,You need to have more conversation with your physician .,You talk more with your doctor,You talk more to your doctor,You need to have more conversation with your physician .,you have a little more of conversation with your physician,you have a conversation with commissioner .
Water for All,"['water', 'for', 'all']","[350, 16, 52, 1]",4,Water for All,Water for all,Water for All,Water for All,Water for all,.
"the specic conditions , needs and expectations of key players in the partner countries","['the', 'specic', 'conditions', ',', 'needs', 'and', 'expectations', 'of', 'key', 'players', 'in', 'the', 'partner', 'countries']","[5, 2, 1156, 4, 511, 7, 3741, 9, 864, 910, 12, 5, 1962, 1094, 1]",15,special needs and expectations of main players in the partner countries,"the specific conditions , needs and expectations of partner countries .",the specific conditions and expectations of key players in the neighbour countries,special needs and expectations of main players in the partner countries,the specific needs and expectations of key partners,"the conditions of UNK , need and expectations ."
"As Chairman of the G20 , Gordon Brown has been offering active international leadership at what is proving to be one of the most difficult times in recent history .","['as', 'chairman', 'of', 'the', 'g20', ',', 'gordon', 'brown', 'has', 'been', 'offering', 'active', 'international', 'leadership', 'at', 'what', 'is', 'proving', 'to', 'be', 'one', 'of', 'the', 'most', 'difficult', 'times', 'in', 'recent', 'history', '.']","[27, 5349, 9, 5, 100102, 4, 101513, 2795, 51, 78, 1776, 1363, 1010, 2446, 29, 88, 13, 10822, 8, 32, 58, 9, 5, 126, 1063, 370, 12, 863, 504, 6, 1]",31,Gordon Brown has been offering active international leadership,Gordon Brown has been offering active international leadership in one of the most difficult times in recent history .,Gordon Brown has been offering active international leadership,Gordon Brown has been offering active international leadership,Gordon Brown has offered active international leadership at one of the most difficult times in recent history .,"as president of the g20 , gordon brown has taken active international leadership on what constitutes one of recent history ."
"The Joint Supervisory Body , comprising two dataprotection experts from each Member State , monitors the content and use of all personal data held by Europol .","['the', 'joint', 'supervisory', 'body', ',', 'comprising', 'two', 'dataprotection', 'experts', 'from', 'each', 'member', 'state', ',', 'monitors', 'the', 'content', 'and', 'use', 'of', 'all', 'personal', 'data', 'held', 'by', 'europol', '.']","[5, 3405, 30553, 514, 4, 6200, 120, 2, 2816, 37, 208, 682, 351, 4, 10852, 5, 590, 7, 133, 9, 52, 619, 332, 696, 33, 100020, 6, 1]",28,"The Joint Supervisory Body , comprising two data protection experts from each Member State , monitors personal data held by Europol .",Two data protection experts from each Member State comprise the Joint Supervisory Body which monitors the content / use of personal data in Europol .,"The Joint Supervisory Body , comprising two data protection experts from each Member State , monitors the content and use of all Europol personal data .","The Joint Supervisory Body , comprising two data protection experts from each Member State , monitors personal data held by Europol .","the Joint Supervisory Body , comprising two data protection experts from each Member State , monitors the content of all personal data .","the joint supervisory body , composed by two experts of the member state , controls the content content ."
You will be informed on the follow - up of your request for correction or deletion no later than three months from the date of your request .,"['you', 'will', 'be', 'informed', 'on', 'the', 'follow', '-', 'up', 'of', 'your', 'request', 'for', 'correction', 'or', 'deletion', 'no', 'later', 'than', 'three', 'months', 'from', 'the', 'date', 'of', 'your', 'request', '.']","[24, 48, 32, 3685, 21, 5, 998, 47, 66, 9, 41, 1442, 16, 9759, 38, 2558, 102, 415, 100, 251, 464, 37, 5, 730, 9, 41, 1442, 6, 1]",29,Within three months you will receive a response to your correction or deletion request .,correction or deletion of your request would be sent no later than three months of your request,You 'll be informed on the follow - up of your request for correction or deletion no later than three months .,Within three months you will receive a response to your correction or deletion request .,you will be informed of your request for correction or deletion no later than three months from the date of the request .,"you will be informed about your request for correction or postponement , or cancellation or cancellation after three ."
and the thermometer on the front porch read minus 40 degrees —,"['and', 'the', 'thermometer', 'on', 'the', 'front', 'porch', 'read', 'minus', '40', 'degrees', '—']","[7, 5, 24336, 21, 5, 600, 7923, 303, 11199, 780, 2805, 179, 1]",13,the thermometer on the front porch read minus 40 degrees,the thermometer read minus 40 degrees,the thermometer on the porch read minus 40 degrees —,the thermometer on the front porch read minus 40 degrees,thermometer in the front reads -40,the UNK panel has been 40 degrees .
"Ladies and gentlemen , dear colleagues , it is a great pleasure to welcome here this afternoon the Prime Minister of the United Kingdom , Gordon Brown .","['ladies', 'and', 'gentlemen', ',', 'dear', 'colleagues', ',', 'it', 'is', 'a', 'great', 'pleasure', 'to', 'welcome', 'here', 'this', 'afternoon', 'the', 'prime', 'minister', 'of', 'the', 'united', 'kingdom', ',', 'gordon', 'brown', '.']","[4596, 7, 16123, 4, 4980, 4941, 4, 23, 13, 10, 162, 3211, 8, 1702, 152, 35, 2379, 5, 4496, 4231, 9, 5, 9065, 7004, 4, 101513, 2795, 6, 1]",29,"Ladies and gentlemen , it is a great pleasure to welcome the Prime Minister of the United Kingdom , Gordon Brown , this afternoon .","Welcome Prime Minister of the United Kingdom , Gordon Brown .","Ladies and gentlemen , the Prime Minister of the United Kingdom , Gordon Brown .","Ladies and gentlemen , it is a great pleasure to welcome the Prime Minister of the United Kingdom , Gordon Brown , this afternoon .","ladies and gentlemen , dear   colleagues , it is a great pleasure","ladies and gentlemen , it is a great pleasure to welcome the british prime minister , gordon brown ."
Fifty percent .,"['fifty', 'percent', '.']","[9192, 877, 6, 1]",4,50 %,50 % .,50 % .,50 %,Fifty percent .,.
"and begins with something that we all know how to do ,","['and', 'begins', 'with', 'something', 'that', 'we', 'all', 'know', 'how', 'to', 'do', ',']","[7, 2473, 22, 227, 17, 53, 52, 122, 115, 8, 87, 4, 1]",13,and begins with something we know how to do :,and starts with something that we all do,and starts with something everyone can do,and begins with something we know how to do :,beginning with something we all know how to do,we know how to do that out .
The Council is responsible for the guidance and control of Europol .,"['the', 'council', 'is', 'responsible', 'for', 'the', 'guidance', 'and', 'control', 'of', 'europol', '.']","[5, 4070, 13, 1538, 16, 5, 4374, 7, 517, 9, 100020, 6, 1]",13,JHA 's responsibilities include guidance and control of Europol .,The Council oversees the guidance and control of Europol .,The Council is responsible for guidance and control of Europol .,JHA 's responsibilities include guidance and control of Europol .,The council is responsible for the guidance of Europol,the council is responsible for its country .
"have n't felt like yourself ,","['have', ""n't"", 'felt', 'like', 'yourself', ',']","[36, 100342, 921, 71, 909, 4, 1]",7,Have n't felt like yourself .,"have n't felt normal ,",have n't felt like yourself,Have n't felt like yourself .,you are n't feeling normal,the authorities felt .
